id,firstName,lastName,birthDate
71,Bill,Gates,1955-11-25
72,Mark,Zukerber,1992-02-27
73,Jeff,Besos,1972-09-19
74,Jack,Ma,1965-10-31
75,Steve,Jobs,1957-04-24
76,Larry,Ellison,1947-08-19
77,Bill2,Gates,1955-11-25
78,Bill3,Gates,1955-11-25
79,Bill4,Gates,1955-11-25
80,Bill5,Gates,1955-11-25
81,Bill6,Gates,1955-11-25
82,Bill7,Gates,1955-11-25
83,Bill8,Gates,1955-11-25
84,Bill9,Gates,1955-11-25
85,Bill10,Gates,1955-11-25
86,Bill11,Gates,1955-11-25
87,Bill12,Gates,1955-11-25
88,Bill13,Gates,1955-11-25
89,Bill14,Gates,1955-11-25
90,Bill15,Gates,1955-11-25
91,Bill16,Gates,1955-11-25
92,Bill17,Gates,1955-11-25
93,Bill18,Gates,1955-11-25
94,Bill19,Gates,1955-11-25
95,Bill20,Gates,1955-11-25
96,Bill21,Gates,1955-11-25
97,Bill22,Gates,1955-11-25
98,Bill23,Gates,1955-11-25
99,Bill24,Gates,1955-11-25
100,Bill25,Gates,1955-11-25
101,Bill26,Gates,1955-11-25
102,Bill27,Gates,1955-11-25
103,Bill28,Gates,1955-11-25
104,Bill29,Gates,1955-11-25
105,Bill30,Gates,1955-11-25
